Index,Date, Nikkei Open,STI Open
1,11/11/2009,9890.18,2718.01
2,11/12/2009,9921.45,2743.45
3,11/13/09,9793.19,2707.76
4,11/16/09,9784.14,2735.73
5,11/17/09,9834.58,2785.94
6,11/18/09,9723.23,2773.67
7,11/19/09,9691.86,2756.07
8,11/20/09,9460.21,2749.69
,2/2/2022,27302.99,#N/A
,2/1/2022,27167.14,#N/A
11,11/24/09,9511,2792.68
12,11/25/09,9381.9,2790.24
13,11/26/09,9354.8,2795.08
14,11/30/09,9189.17,2754.02
15,12/1/2009,9281.82,2750.35
16,12/2/2009,9551.79,2784.21
17,12/3/2009,9707.02,2803.55
18,12/4/2009,10019.24,2797.28
19,12/7/2009,10131.9,2792.57
20,12/8/2009,10079.81,2802.69
21,12/9/2009,10048.94,2787.18
22,12/10/2009,9964.05,2806.11
23,12/11/2009,9958,2783.78
24,12/14/09,10126.61,2804.74
25,12/15/09,10053.45,2808.65
26,12/16/09,10179.33,2798.89
27,12/17/09,10199.92,2821.57
28,12/18/09,10110.64,2789.29
29,12/21/09,10196.71,2805.37
30,12/22/09,10256,2806.27
31,12/24/09,10413.37,2838.81
32,12/28/09,10521.81,2845.16
33,12/29/09,10611.85,2860.79
34,12/30/09,10707.51,2867.24
35,1/4/2010,10609.34,2891.35
36,1/5/2010,10719.44,2915.36
37,1/6/2010,10709.55,2926.86
38,1/7/2010,10742.75,2936.69
39,1/8/2010,10743.3,2924.6
40,1/12/2010,10770.35,2937.62
41,01/13/10,10795.48,2906.2
42,01/14/10,10778.07,2902.66
43,01/15/10,10917.41,2919.02
44,01/18/10,10887.61,2898.6
45,01/19/10,10866.83,2917.37
46,01/20/10,10834.91,2931.41
47,01/21/10,10704.79,2888.36
48,01/22/10,10740.21,2806.82
49,01/25/10,10478.31,2789.7
50,01/26/10,10506.15,2808.95
51,01/27/10,10344.07,2741.26
52,01/28/10,10309.73,2717.92
53,01/29/10,10308.05,2736.55
54,2/1/2010,10212.36,2742.23
55,2/2/2010,10310.98,2762.46
56,2/3/2010,10428.12,2737.4
57,2/4/2010,10434.52,2761.15
58,2/5/2010,10162.34,2694.25
59,2/8/2010,10007.47,2690.25
60,2/9/2010,9876.61,2679.88
61,2/10/2010,10024.26,2752.16
62,2/12/2010,10085.35,2757.98
63,02/17/10,10161.72,2793.25
64,02/18/10,10324.98,2788.76
65,02/19/10,10334.4,2772.03
66,02/22/10,10302.07,2772.21
67,02/23/10,10327.64,2750.61
68,02/24/10,10205.15,2749.43
,11/4/2021,29859.74,#N/A
70,02/25/10,10256.1,2774.09
71,02/26/10,10107.08,2756.28
72,3/1/2010,10128.73,2762.98
73,3/2/2010,10199.19,2782.3
74,3/3/2010,10193.95,2776.71
75,3/4/2010,10255.69,2788.3
76,3/5/2010,10254.61,2787.25
77,3/8/2010,10538.12,2821.16
78,3/9/2010,10567.32,2840.95
79,3/10/2010,10555.85,2847.55
80,3/11/2010,10627.99,2873.98
81,3/12/2010,10777.49,2880.78
82,03/15/10,10802.11,2894.4
83,03/16/10,10718.63,2880.57
84,03/17/10,10789.24,2906.92
85,03/18/10,10841.71,2918.18
86,03/19/10,10785.88,2924.37
87,03/23/10,10793.05,2905.48
88,03/24/10,10829.36,2917.57
89,03/25/10,10857.81,2890.72
90,03/26/10,10895.29,2890.08
91,03/29/10,10909.98,2908.4
92,03/30/10,11022.2,2929.14
93,03/31/10,11138.72,2907.97
94,4/1/2010,11178.92,2898.76
95,4/5/2010,11380.63,2955.78
96,4/6/2010,11350.7,2974.69
97,4/7/2010,11296.31,2979.21
98,4/8/2010,11179.67,2970.25
99,4/9/2010,11174.62,2964.51
100,4/12/2010,11300.79,2983.45
101,04/13/10,11202.92,2962.32
102,04/14/10,11213.46,2985.21
103,04/15/10,11310.07,3032.03
104,04/16/10,11230.53,3022.77
105,04/19/10,10929.64,2975.88
106,04/20/10,10960.11,2977.47
107,04/21/10,11031.79,2988.46
108,04/22/10,10988.01,2958.43
109,04/23/10,10930.9,2973.33
110,04/26/10,11039.59,2992.7
111,04/27/10,11109.26,2988.49
112,04/28/10,11005.51,2948.66
113,04/30/10,11062.12,2973.49
114,5/6/2010,10847.9,2844.92
115,5/7/2010,10472.7,2779.06
116,5/10/2010,10399.05,2829.04
117,5/11/2010,10643.24,2888.56
118,5/12/2010,10465.03,2860.32
119,05/13/10,10542.77,2897.69
120,05/14/10,10453.4,2855.98
121,05/17/10,10329.37,2821.82
122,05/18/10,10313.14,2837.39
123,05/19/10,10087.33,2806.19
124,05/20/10,10121.85,2778.27
125,05/21/10,9823.84,2695.51
126,05/24/10,9754.99,2704.85
127,05/25/10,9632.14,2694.38
128,05/26/10,9567.35,2678.43
129,05/27/10,9419.3,2696.79
130,05/31/10,9735.47,2754.7
131,6/1/2010,9747.26,2737.32
132,6/2/2010,9604.45,2711.13
133,6/3/2010,9758.82,2765.9
134,6/4/2010,9909.24,2786.53
135,6/7/2010,9705.36,2736.67
136,6/8/2010,9448.79,2752.43
137,6/9/2010,9475.57,2744.02
138,6/10/2010,9476.78,2752.37
139,6/11/2010,9701.32,2803.62
,07/20/21,27351.8,#N/A
141,06/14/10,9824.93,2804.29
142,06/15/10,9845.65,2813.09
143,06/16/10,10043.1,2843.65
144,06/17/10,10009.25,2848.46
145,06/18/10,10027.98,2853.01
146,06/21/10,10109.27,2862.77
147,06/22/10,10131.91,2877.13
148,06/23/10,9973,2855.4
149,06/24/10,9902.62,2874.16
150,06/25/10,9778.7,2833.96
151,06/28/10,9758.91,2854.73
152,06/29/10,9718.4,2881.75
153,06/30/10,9396.45,2770.12
154,7/1/2010,9296.86,2821.97
155,7/2/2010,9234.56,2819.74
156,7/5/2010,9230,2855.07
157,7/6/2010,9158.28,2829.1
158,7/7/2010,9322.56,2864.24
159,7/8/2010,9462.82,2896.24
160,7/9/2010,9601.62,2904.76
161,7/12/2010,9540.47,2923.23
162,07/13/10,9592.87,2937.62
163,07/14/10,9707.5,2951.63
164,07/15/10,9701.14,2948.98
165,07/16/10,9600.88,2948.74
166,07/20/10,9267.24,2949.6
167,07/21/10,9404.07,2953.12
168,07/22/10,9216.28,2930.96
169,07/23/10,9380.12,2972.55
170,07/26/10,9520.73,2976.66
171,07/27/10,9512.67,2986.56
172,07/28/10,9614.47,2976.79
173,07/29/10,9653.51,2984.52
174,07/30/10,9658.61,3018.26
175,8/2/2010,9574.64,3011.84
176,8/3/2010,9716.57,3039.25
177,8/4/2010,9606.82,3010.88
178,8/5/2010,9640.34,3016.01
,05/26/21,28396.62,#N/A
180,8/6/2010,9560.65,3004.24
181,8/10/2010,9629.97,2997.89
182,8/11/2010,9423.03,2969.54
183,8/12/2010,9125.49,2930.71
184,08/13/10,9214.81,2928.59
185,08/16/10,9145.22,2921.22
186,08/17/10,9089.85,2933.39
187,08/18/10,9261.5,2933.41
,05/13/21,27929.01,#N/A
189,08/19/10,9242.84,2936.02
190,08/20/10,9239.36,2934.72
191,08/23/10,9147.24,2934.54
192,08/24/10,9024.6,2921.58
193,08/25/10,8904.44,2915.22
194,08/26/10,8908.02,2931.69
195,08/27/10,8811.47,2924.59
196,08/30/10,9141.45,2959.7
197,08/31/10,8998.8,2942.44
198,9/1/2010,8833.32,2958.47
199,9/2/2010,9069.62,3007.66
200,9/3/2010,9097.59,2995.95
201,9/6/2010,9199.99,3011.03
202,9/7/2010,9232.02,3032.66
203,9/8/2010,9098.86,3015.93
204,9/9/2010,9120.54,3024.34
205,09/13/10,9325.64,3035.52
206,09/14/10,9319.5,3065.67
207,09/15/10,9243.48,3048.03
208,09/16/10,9613.89,3082.58
209,09/17/10,9581.65,3074.61
210,09/21/10,9700.88,3100.23
211,09/22/10,9563.2,3089.69
212,09/24/10,9435.04,3080.53
,4/2/2021,29704.66,#N/A
214,09/27/10,9557.37,3112.43
215,09/28/10,9547.03,3112.29
216,09/29/10,9530.05,3115.97
217,09/30/10,9554.83,3101.97
218,10/1/2010,9440.52,3106.92
219,10/4/2010,9410.92,3163.32
220,10/5/2010,9337.43,3147.72
221,10/6/2010,9588.47,3182.94
222,10/7/2010,9661.09,3187.96
223,10/8/2010,9675.59,3164.27
224,10/12/2010,9648.59,3162.76
225,10/13/10,9473.78,3160.32
226,10/14/10,9515.17,3214.37
227,10/15/10,9551.21,3194.1
228,10/18/10,9517.68,3207.7
229,10/19/10,9490.09,3187.91
230,10/20/10,9399.65,3165.9
231,10/21/10,9443.95,3186.75
232,10/22/10,9404.09,3163.6
233,10/25/10,9424.44,3179.24
234,10/26/10,9386.55,3182.46
235,10/27/10,9436.01,3174.37
236,10/28/10,9368.61,3136.25
237,10/29/10,9327.25,3120.29
238,11/1/2010,9166.85,3150.89
239,11/2/2010,9140.28,3198.39
240,11/4/2010,9282.79,3238.42
241,11/8/2010,9699.79,3264.21
242,11/9/2010,9667.44,3299.5
243,11/10/2010,9748.61,3309.23
244,11/11/2010,9878.11,3290.11
245,11/12/2010,9810.3,3283.43
246,11/15/10,9782.11,3251.99
,2/12/2021,29635.88,#N/A
248,11/16/10,9892.82,3240
249,11/18/10,9820.6,3200.94
250,11/19/10,10124.84,3227.23
251,11/22/10,10133.48,3197.55
252,11/24/10,9942.54,3120.84
253,11/25/10,10117.85,3151.13
254,11/26/10,10078.09,3163.31
255,11/29/10,10075.66,3157.82
256,11/30/10,10070.31,3165.41
257,12/1/2010,9939.8,3144.75
258,12/2/2010,10151.15,3201.83
259,12/3/2010,10231.78,3209.37
260,12/6/2010,10175.23,3195.44
261,12/7/2010,10152.92,3177.27
262,12/8/2010,10200.16,3195.21
263,12/9/2010,10277.87,3207.99
264,12/10/2010,10373.7,3207.13
265,12/13/10,10212.52,3182.38
266,12/14/10,10272.7,3179.31
267,12/15/10,10338.14,3164.93
268,12/16/10,10297.55,3148.1
269,12/17/10,10307.17,3152.92
270,12/20/10,10296.55,3160.73
271,12/21/10,10277.14,3129.06
272,12/22/10,10348.48,3152.83
273,12/24/10,10275.97,3146.13
274,12/27/10,10292.84,3148.88
275,12/28/10,10330.01,3166.99
276,12/29/10,10282.84,3196.09
277,12/30/10,10303.13,3211.11
,12/25/20,26708.1,#N/A
279,1/4/2011,10352.19,3248.56
280,1/5/2011,10387.95,3257.22
281,1/6/2011,10477.52,3265.4
282,1/7/2011,10506.72,3279.98
283,1/11/2011,10484.62,3230.81
284,1/12/2011,10562.28,3244.37
285,01/13/11,10593.46,3252.6
286,01/14/11,10502.77,3236.83
287,01/17/11,10562.09,3255.65
288,01/18/11,10461.04,3238.43
289,01/19/11,10567.88,3249.61
290,01/20/11,10492.32,3237.27
291,01/21/11,10459.04,3204.93
292,01/24/11,10318.6,3201.03
293,01/25/11,10374.64,3205.76
294,01/26/11,10410.29,3182.67
295,01/27/11,10466.34,3218.55
296,01/28/11,10460.29,3220
297,01/31/11,10219.98,3191.77
298,2/1/2011,10281.55,3188.93
299,2/2/2011,10368.48,3201.29
300,2/7/2011,10641.3,3228.41
301,2/8/2011,10645.03,3197.29
302,2/9/2011,10686.72,3178.27
303,2/10/2011,10574.8,3135.88
304,02/14/11,10689.65,3092.49
305,02/15/11,10738.81,3110.43
306,02/16/11,10758.86,3079.16
307,02/17/11,10882.91,3092.93
308,02/18/11,10829.15,3085.59
309,02/21/11,10820.78,3079.95
310,02/22/11,10745.52,3043.21
311,02/23/11,10588.82,3014.11
312,02/24/11,10533.2,2995.7
313,02/25/11,10475.78,2977.76
314,02/28/11,10504.54,3003.75
315,3/1/2011,10676.24,3027.67
316,3/2/2011,10609.28,3040.92
317,3/3/2011,10529.77,3038.86
318,3/4/2011,10730.91,3068.12
319,3/7/2011,10626.97,3054.43
320,3/8/2011,10513.08,3063.58
321,3/9/2011,10607.23,3110.54
322,3/10/2011,10544.13,3093.79
323,3/11/2011,10298.64,3053.07
324,03/14/11,10044.17,3031.16
